"","address","lat","lon","para","name","addr","LATITUDE","LONGITUDE","matched","Errors"
"54","14th & Otis Pl NW",38.9349589,-77.0327388,"0x89b7c818702dcc37:0x21a8c7c6f9db18e7","14th St NW & Otis Pl NW","Washington, DC 20010",38.934405,-77.032687,TRUE,61.7536179303364
"55","14th & Q St NW",38.9111414,-77.0319475,"0x89b7b7e98b2ac5c7:0x5622bd81b9042b1e","14th St NW & Q St NW","Washington, DC 20009",38.910674,-77.03188,TRUE,52.299628170942
"56","14th & Quincy St NW",38.9376104,-77.0327337,"0x89b7c817e5f30f61:0xe542624bc537b7a0","14th St NW & Quincy St NW","Washington, DC 20010",38.938024,-77.032688,TRUE,46.1597626774738
"57","14th & R St NW",38.9126164,-77.0319409,"0x89b7b7e9b8ba9937:0xc155346610e072a1","14th St NW & R St NW","Washington, DC 20009",38.913046,-77.032008,TRUE,48.1208317281608
"58","14th & Rhode Island Ave NW",38.90882,-77.0319565,"0x89b7b7ea5d9b7d59:0xec2904a38e68f949","14th St NW & Rhode Island Ave NW","Washington, DC 20005",38.90882,-77.0319565,FALSE,0
"59","14th & U St NW",38.9170112,-77.0319477,"0x89b7b7e7c20f600d:0x4d60bf387fee00b8","14th St NW & U St NW","Washington, DC 20009",38.9170112,-77.0319477,FALSE,0
"60","14th & Upshur St NW",38.9418754,-77.0327325,"0x89b7c815fd541147:0xeeb91f06fc8e7596","14th St NW & Upshur St NW","Washington, DC 20011",38.942475,-77.032678,TRUE,66.838880213435
"61","14th & V St NW",38.9181185,-77.0319661,"0x89b7b7e7a29996a1:0xea561e526a6885ca","14th St NW & V St NW","Washington, DC 20009",38.917765,-77.032096,TRUE,40.8824050008
"62","14th St & Colorado Ave NW",38.9557553,-77.0334061,"0x89b7c8429e44796b:0x43d72a0cc706c0de","14th St NW & Colorado Ave NW","Washington, DC 20011",38.9557553,-77.0334061,FALSE,0
"63","14th St & Luzon Ave NW",38.9697883,-77.0334391,"0x89b7c8f52cca8491:0xbbd9878c1dd7061e","14th St NW & Luzon Ave NW","Washington, DC 20012",38.969489,-77.033509,TRUE,33.8248234702237
"64","14th St & Marion Barry Ave SE",38.8667737,-76.9851397,"0x89b7b9b8fa111d09:0x99e8abb935d824d7","14th St SE & Marion Barry Ave SE","Washington, DC 20020",38.866611,-76.985238,TRUE,19.9932154330471
"65","14th St & New York Ave NW",38.8993562,-77.0319861,"0x89b7b796401b969d:0xb7c82219a0a8fffe","14th St NW & New York Ave NW","Washington, DC 20005",38.899632,-77.031686,TRUE,40.1862186045251
"66","14th St & Rhode Island Ave NW",38.90882,-77.0319565,"0x89b7b7ea5d9b7d59:0xec2904a38e68f949","14th St NW & Rhode Island Ave NW","Washington, DC 20005",38.9086,-77.0323,TRUE,38.4943179979457
"67","14th St & Spring Rd NW",38.9370752,-77.0327352,"0x89b7c817fa058427:0xe756cce4b7709166","14th St NW & Spring Rd NW","Washington, DC 20010",38.9370752,-77.0327352,FALSE,0
"68","14th St Heights / 14th & Crittenden St NW",38.9471969,-77.0327307,"0x89b7c86aad8f221b:0xe25578fe2cbcb7a6","14th St NW & Crittenden St NW","Washington, DC 20011",38.947774,-77.032818,TRUE,64.6131668783165
"69","15th & Crystal Dr",38.8601046,-77.0493188,"0x89b7b7243f9a3303:0xbdc73aedcf6d38d4","Crystal Dr & 15th St S","Arlington, VA 22202",38.8601046,-77.0493188,FALSE,0
"70","15th & East Capitol St NE",38.8898014,-76.9836523,"0x89b7b8489c992f4b:0xcb9a90a01070b627","15th St NE & East Capitol St NE","Washington, DC 20003",38.889908,-76.983326,TRUE,30.6276702443193
"71","15th & Euclid St NW",38.9233883,-77.0353209,"0x89b7b7de444a7075:0x8dff3c5b10f0a64d","Euclid St NW & 15th St NW","Washington, DC 20009",38.92333,-77.0352,TRUE,12.3049720029622
"72","15th & F St NE",38.8973337,-76.9836529,"0x89b7b8410f74e6b1:0x27a1a4224fc6298","15th St NE & F St NE","Washington, DC 20002",38.897195,-76.983575,TRUE,16.8317611791456
"73","15th & Harvard St NW",38.9263381,-77.0354882,"0x89b7b7df8f12c591:0x5b10285257b462af","15th St NW & Harvard St NW","Washington, DC 20009",38.9263381,-77.0354882,FALSE,0
"74","15th & K St NW",38.9024215,-77.0345915,"0x89b7b7be3c1da7ab:0x2131a604519b9c9c","15th St NW & K St NW","Washington, DC 20005",38.902,-77.03353,TRUE,103.122093114953
"75","15th & L St NW",38.9037458,-77.0345669,"0x89b7b7bfcb7f4993:0x3b87a26207235ab","15th St NW & L St NW","Washington, DC 20005",38.903967,-77.034602,TRUE,24.7831368940647
"76","15th & M St NW",38.9056597,-77.0345563,"0x89b7b7bff3cbf18d:0x80915519818afec1","15th St NW & M St NW","Washington, DC 20005",38.905424,-77.034674,TRUE,28.1179403056535
"77","15th & N Scott St",38.89768,-77.03349,"0x89b7b7bd637cfdc7:0x41bda04e5d5b0587","15 St NW & F St NW","Washington, DC 20004",38.89768,-77.03349,FALSE,0
"78","15th & P St NW",38.9096522,-77.0345529,"0x89b7b7c1c14ae67d:0xd76be3c53512b04f","15th St NW & P St NW","Washington, DC 20005",38.909801,-77.034427,TRUE,19.8098839085433
"79","15th & W St NW",38.9191914,-77.03475,"0x89b7b7dd75f2292d:0x632cc1b745ee97fb","15th St NW & W St NW","Washington, DC 20009",38.919019,-77.034449,TRUE,32.3357156839802
"80","15th St & Constitution Ave NW",38.8921012,-77.0336253,"0x89b7b7a2744fead7:0x2fb2a744ae9f91e4","15th St NW & Constitution Ave. NW","Washington, DC 20004",38.892244,-77.033234,TRUE,37.4032860264614
"81","15th St & Massachusetts Ave SE",38.8871677,-76.9836618,"0x89b7b8491ba2698f:0xa7c1d1bdced336f4","15th St SE & Massachusetts Ave SE","Washington, DC 20003",38.88732,-76.983569,TRUE,18.7432008796931
"82","15th St & N Scott St",38.89768,-77.03349,"0x89b7b7bd637cfdc7:0x41bda04e5d5b0587","15 St NW & F St NW","Washington, DC 20004",38.89054,-77.08095,TRUE,4183.39952259554
"83","15th St & New York Ave NW",38.8987872,-77.0336256,"0x89b7b7bd865e9ba1:0x28782298e6668a5e","New York Ave NW & 15th St NW","Washington, DC 20005",38.899032,-77.033354,TRUE,35.9636167843919
"84","15th St & Pennsylvania Ave NW",38.8987872,-77.0336256,"0x89b7b7bd865e9ba1:0x28782298e6668a5e","Pennsylvania Avenue NW & 15th St NW","Washington, DC 20005",38.896465,-77.033381,TRUE,259.083022636813
"85","15th St & Pennsylvania Ave NW/Pershing Park",38.89594,-77.0327199,"0x89b7b797f98ab8f1:0x66e36ab2efdf36d2","Pershing Park","Washington, DC 20045",38.89594,-77.0327199,FALSE,0
"86","16th & Bangor St SE",38.8605381,-76.9836721,"0x89b7b9be380ce549:0xaeccfe2c5788c419","Bangor St SE & 16th St SE","Washington, DC 20020",38.86044,-76.983585,TRUE,13.2613765542803
"87","16th & Harvard St NW",38.9262807,-77.0364872,"0x89b7b7df783407ad:0x9fd329604a6739e6","Harvard St NW & 16th St NW","Washington, DC 20009",38.926102,-77.03665,TRUE,24.355046426823
"88","16th & Irving St NW",38.9286826,-77.0364773,"0x89b7c820f87c569b:0x7aebb72f5ebb39f9","Irving St NW & 16th St NW","Washington, DC 20009",38.928893,-77.03625,TRUE,30.5603043781052
"89","16th & K St NW/BLM Plaza",38.902677,-77.035866,"0x89b7b7be5c13ce4d:0xbc97d446200ad230","Capital Bikeshare: 16th & K St NW/BLM Plaza","Washington, DC 20005",38.902677,-77.035866,TRUE,0
"90","16th & Q St SE / Anacostia HS",38.8699825,-76.9827842,"0x89b7b9b74f6ee45d:0x511a1ab30fb88738","Anacostia High School","1601 16th St SE, Washington, DC 20020",38.870695,-76.982359,TRUE,87.3604750060812
"91","16th & R St NW",38.9126227,-77.0365216,"0x89b7b7c3ca51ba8d:0x899c2c7b3607d103","R St NW & 16th St NW","Washington, DC 20009",38.912652,-77.036278,TRUE,21.3269100103155
"92","16th St & North Carolina Ave NE",38.8930197,-76.9822203,"0x89b7b846850d4c87:0x6ff3cdff32316c5d","16th St NE & North Carolina Ave NE","Washington, DC 20002",38.893062,-76.982464,TRUE,21.6091662675662
"93","17th & Corcoran St NW",38.9118748,-77.0385049,"0x89b7b7c3fcd6cec3:0x60ee95e87ddae478","Corcoran St NW & 17th St NW","Washington, DC 20009",38.9121,-77.0387,TRUE,30.1994438940974
"94","17th & G St NW",38.8983475,-77.0394813,"0x89b7b7bb633c79f9:0x9f02c5bd8479eeb7","G St NW & 17th St NW","Washington, DC 20006",38.898301,-77.039643,TRUE,14.9180273750894
"95","17th & K St NW",38.9024024,-77.0395157,"0x89b7b7b94c26b383:0x144bba2b6d4028b5","17th St NW & K St NW","Washington, DC 20006",38.90276,-77.03863,TRUE,86.3436919308983
"96","17th & K St NW / Farragut Square",38.9019364,-77.0389566,"0x89b7b7beac56e175:0xfd3563543f97c084","Farragut Square","912 17th St NW, Washington, DC 20006",38.902061,-77.038322,TRUE,56.6354600520134
"97","17th & P St NW",38.9249433,-77.0391819,"0x89b7b7dc7f1077fb:0x5ca0c0cb72fe6108","17th St NW","Washington, DC",38.909858,-77.038566,TRUE,1678.25494231518
"98","17th & Upshur St NW",38.9418821,-77.0385582,"0x89b7c83c056736f1:0x683cf6426964a27d","17th St NW & Upshur St NW","Washington, DC 20011",38.942146,-77.038684,TRUE,31.2963569494991
"99","17th St & Independence Ave SW",38.8879587,-77.0387413,"0x89b7b7a0ce1e3c8f:0x8fe1c02d03e540b","Independence Ave SW & 17th St SW","Washington, DC 20004",38.888097,-77.038325,TRUE,39.1758242650874
"100","17th St & Massachusetts Ave NW",38.9079384,-77.0385057,"0x89b7b7c0c80b7fb9:0x169465aa4669d500","Massachusetts Ave NW & 17th St NW","Washington, DC 20036",38.908568,-77.038542,TRUE,70.0787488556207
"101","17th St & New York Ave NW",38.8964277,-77.0394795,"0x89b7b7bb54b3a273:0x5a8135a2b5b317ab","New York Ave NW & 17th St NW","Washington, DC 20006",38.896604,-77.039778,TRUE,32.4286937053462
"102","17th St & Potomac Ave SE / Congressional Cemetery",38.8807708,-76.97868,"0x89b7b84d6d0666a5:0x4bf53778f0d1ec6c","Congressional Cemetery","1801 E St SE, Washington, DC 20003",38.8807708,-76.97868,FALSE,0
"103","17th St & Rhode Island Ave NW",38.9065595,-77.0385102,"0x89b7b7bf57e332bf:0xc470b83fec1acf3f","Rhode Island Ave NW & 17th St NW","Washington, DC 20036",38.906767,-77.038627,TRUE,25.1893426427041
"104","18th & C St NW",38.9201405,-77.041854,"0x89b7b7da53f4fa11:0xa1c791b3c449a141","18th St NW","Washington, DC",38.893511,-77.041544,TRUE,2961.18679271758
"105","18th & Eads St.",38.8573904,-77.0530813,"0x89b7b7262e250c67:0x405464b833554e19","S Eads St & 18th St S","Arlington, VA 22202",38.8573904,-77.0530813,FALSE,0
"106","18th & L St NW",38.9037363,-77.0416875,"0x89b7b7b905ee2dcb:0x842d467f4ffd38dc","18th St NW & L St NW","Washington, DC 20036",38.903741,-77.042452,TRUE,66.1558802436829
"107","18th & M St NW",38.9056508,-77.0416855,"0x89b7b7b88cabc185:0xe1cff779ae050e85","18th St NW & M St NW","Washington, DC 20036",38.905067,-77.041779,TRUE,65.417827894856
"108","18th & Monroe St NE",38.9331181,-76.9796164,"0x89b7c791a6f85e89:0x8957046699f44f17","Monroe St NE & 18th St NE","Washington, DC 20018",38.93293,-76.979517,TRUE,22.6139442570039
"109","18th & New Hampshire Ave NW",38.9115249,-77.0416837,"0x89b7b7c685d99c93:0x434d2508b1b68025","18th St NW & New Hampshire Ave NW","Washington, DC 20009",38.911268,-77.041829,TRUE,31.2100022514607
"110","18th & R St NW",38.9126194,-77.041671,"0x89b7b7c42e0cd187:0xc71f9dbd6a04df59","18th St NW & R St NW","Washington, DC 20009",38.912648,-77.041834,TRUE,14.457084338744
"111","18th & Upshur St NE",38.9418059,-76.9802967,"0x89b7c7bded72c6e1:0x13241cd2fcf31f93","Upshur St NE & 18th St NE","Washington, DC 20017",38.941733,-76.980378,TRUE,10.7307080775607
"112","18th St & Ingleside Ter NW",38.9344691,-77.0413039,"0x89b7c824455317c3:0xbdae4157b2a259cd","18th St NW & Ingleside Terrace NW","Washington, DC 20010",38.934784,-77.041362,TRUE,35.3740573434143
"113","18th St & Ingleside Terr NW",38.9344691,-77.0413039,"0x89b7c824455317c3:0xbdae4157b2a259cd","18th St NW & Ingleside Terrace NW","Washington, DC 20010",38.9344691,-77.0413039,FALSE,0
"114","18th St & Pennsylvania Ave NW",38.8995944,-77.041699,"0x89b7b7bbaeca63a3:0xe5904bb1594b0efe","18th St NW & Pennsylvania Avenue NW","Washington, DC 20006",38.89968,-77.041539,TRUE,16.8020191742976
"115","18th St & Rhode Island Ave NE",38.9277157,-76.9791431,"0x89b7c78efb8ee11b:0x5be020f1de676ea7","Rhode Island Ave NE & 18th St NE","Washington, DC 20018",38.927095,-76.978924,TRUE,71.5736749197255
"116","18th St & S Eads St",38.857884,-77.053269,"0x89b7b726343db75d:0xb266ca6663dd2ae7","Eads St S at 18th St S","Arlington, VA 22202",38.857884,-77.053269,FALSE,0
"117","18th St & Wyoming Ave NW",38.9187441,-77.0416565,"0x89b7b7db19530bed:0x6ad8bb9332018a9e","18th St NW & Wyoming Ave NW","Washington, DC 20009",38.918809,-77.041571,TRUE,10.3340785424683
"118","19th & E Street NW",38.8954217,-77.0434766,"0x89b7b7a514d54d71:0x3639dbe5d30b7fbe","E St NW & 19th St NW","Washington, DC 20006",38.895734,-77.043368,TRUE,35.9755264732171
"119","19th & East Capitol St SE",38.8897598,-76.9772643,"0x89b7b8455e880fbd:0x1ec23e341ddd1004","E Capitol St SE & 19th St SE","Washington, DC 20003",38.8896,-76.9769,TRUE,36.1921260760273
"120","19th & G St NW",38.8983429,-77.0434837,"0x89b7b7baeb1e9bbb:0x1d877fa2075a4f52","G St NW & 19th St NW","Washington, DC 20006",38.898412,-77.043182,TRUE,27.2158462020837
"121","19th & I St NW",38.901342,-77.0434639,"0x89b7b7ba3d4bf0cb:0x46dd2d5c4fd05f3a","19th St NW & I St NW","Washington, DC 20006",38.901633,-77.043386,TRUE,33.0524471590918
"122","19th & K St NW",38.9024125,-77.043461,"0x89b7b7b98d465579:0x5c2c2b7ed54db363","19th St NW & K St NW","Washington, DC 20006",38.9024125,-77.043461,FALSE,0
"123","19th & L St NW",38.9037311,-77.0434546,"0x89b7b7b9b88ac54f:0x72e25daedcb5b047","L St NW & 19th St NW","Washington, DC 20036",38.9037311,-77.0434546,FALSE,0
"124","19th & Savannah St SE",38.8464798,-76.9770569,"0x89b7b98f97025963:0x338ccc89e92598c7","19th St SE & Savannah St SE","Washington, DC 20020",38.84623,-76.97703,TRUE,27.8740122029466
"125","19th St & Constitution Ave NW",38.8921086,-77.0434795,"0x89b7b7a5dd8b6e65:0x3594ea3a47525b51","Constitution Ave. NW & 19th St NW","Washington, DC 20037",38.892212,-77.043074,TRUE,36.9299042152123
"126","19th St & Pennsylvania Ave NW",38.900241,-77.0434769,"0x89b7b7ba4287603f:0xaa5263dc4c92413a","Pennsylvania Avenue NW & 19th St NW","Washington, DC 20006",38.9003,-77.0429,TRUE,50.3520480420011
"127","19th St & Wyoming Ave NW",38.918761,-77.0446592,"0x89b7b7daa19133dd:0x618dd8ae250a046b","Wyoming Ave NW & 19th St NW","Washington, DC 20009",38.918761,-77.0446592,FALSE,0
"128","19th St N & Ft Myer Dr",38.8968772,-77.0724031,"0x89b7b65b977bfb23:0xb97f65ce5e40c143","19th St N & Fort Myer Dr","Arlington, VA 22209",38.897218,-77.072143,TRUE,44.0761774010893
"129","1st & D St SE",38.883825,-76.928735,"0x89b7b8d01dec8687:0x724e4da7d3f1bb8c","51 St SE & D St SE","Washington, DC 20019",38.884916,-77.005965,TRUE,6685.79986345136
"130","1st & H St NW",38.900121,-77.012334,"0x89b7b78a4431da5f:0x8acf76bf67870f37","H St NW & 1 St NW","Washington, DC 20001",38.900358,-77.012108,TRUE,32.8173141906404
"131","1st & I St SE",38.8792864,-77.0090366,"0x89b7b9d596575091:0x7efc65f657c52117","I St SE & I St SW","Washington, DC 20003",38.878854,-77.005727,TRUE,290.492876237597
"132","1st & K NE",38.90261,-77.00574,"0x89b7b821e3964e27:0xc4b5e4fb338e4e30","K St & 1st St NE","Washington, DC 20002",38.90261,-77.00574,FALSE,0
"133","1st & K St NE",38.90261,-77.00574,"0x89b7b821e3964e27:0xc4b5e4fb338e4e30","K St & 1st St NE","Washington, DC 20002",38.902386,-77.005649,TRUE,26.1227951600482
"134","1st & K St SE",38.90261,-77.00574,"0x89b7b821e3964e27:0xc4b5e4fb338e4e30","K St & 1st St NE","Washington, DC 20002",38.90261,-77.00574,FALSE,0
